rank,name,realm,faction,rating,wins,losses,class,spec
137,Mooingcowttv,area-52,HORDE,2930,455,344,Unknown,Unknown
137,Belláware,bleeding-hollow,ALLIANCE,2930,227,172,Unknown,Unknown
137,Nessper,tichondrius,ALLIANCE,2930,353,277,Rogue,Assassination
146,Muàddib,ravencrest,ALLIANCE,2929,162,94,Unknown,Unknown
146,Vânguards,tichondrius,ALLIANCE,2929,243,144,Paladin,Retribution
146,Liquidcdew,illidan,HORDE,2929,683,438,Unknown,Unknown
146,Monsterxgodx,stormrage,ALLIANCE,2929,207,159,Warlock,Destruction
150,Jaime,kaelthas,HORDE,2928,150,52,Shaman,Elemental
150,Kickbot,uldum,ALLIANCE,2928,207,106,Unknown,Unknown
150,Bignar,zuljin,ALLIANCE,2928,267,189,Druid,Feral
150,Mesx,tichondrius,HORDE,2928,341,247,Death Knight,Unholy
150,Gødfâther,zuljin,ALLIANCE,2928,180,135,Unknown,Unknown
150,Vicestko,sargeras,ALLIANCE,2928,300,230,Warrior,Fury
150,Rýuga,sargeras,ALLIANCE,2928,243,190,Unknown,Unknown
157,Nogàrd,arygos,ALLIANCE,2927,156,103,Unknown,Unknown
157,Frøstgødxêêk,tichondrius,HORDE,2927,303,204,Unknown,Unknown
157,Sungjinwoo,grizzly-hills,ALLIANCE,2927,258,176,Paladin,Holy
157,Bleeds,blackhand,ALLIANCE,2927,245,174,Druid,Feral
157,Croces,daggerspine,ALLIANCE,2927,269,200,Demon Hunter,Havoc
157,Croces,daggerspine,ALLIANCE,2927,269,200,Demon Hunter,Havoc
157,Waylor,lethon,ALLIANCE,2927,197,157,Priest,Discipline
163,Stunsilence,sargeras,ALLIANCE,2926,199,114,Priest,Shadow
163,Sarmgoblinx,kelthuzad,ALLIANCE,2926,222,136,Unknown,Unknown
163,Dallas,demon-soul,ALLIANCE,2926,169,115,Druid,Feral
163,Vices,sargeras,ALLIANCE,2926,180,140,Warrior,Arms
163,Pherìx,tichondrius,ALLIANCE,2926,305,243,Mage,Fire
168,Exzyo,area-52,HORDE,2925,174,98,Demon Hunter,Havoc
168,Hønøredøne,sargeras,ALLIANCE,2925,167,113,Monk,Mistweaver
168,Verfanth,area-52,ALLIANCE,2925,163,120,Unknown,Unknown
168,Zerxiosvoker,stormrage,ALLIANCE,2925,316,250,Evoker,Devastation
172,Austin,sargeras,ALLIANCE,2924,160,106,Mage,Arcane
172,Nanoir,illidan,ALLIANCE,2924,150,105,Unknown,Unknown
172,Toondog,area-52,ALLIANCE,2924,268,191,Warlock,Destruction
172,Baiw,tichondrius,HORDE,2924,326,233,Warlock,Destruction
172,Caprise,drenden,ALLIANCE,2924,175,133,Shaman,Restoration
172,Caprise,drenden,ALLIANCE,2924,175,133,Shaman,Restoration
172,Nametenbooks,tichondrius,HORDE,2924,277,225,Shaman,Enhancement
172,Silkymitts,korgath,ALLIANCE,2924,218,187,Shaman,Elemental
179,Myk,medivh,ALLIANCE,2923,150,46,Rogue,Assassination
179,Isnlonely,tichondrius,ALLIANCE,2923,156,71,Warrior,Fury
179,Jthealz,tichondrius,ALLIANCE,2923,556,507,Priest,Holy
182,Tøkÿöghøül,agamaggan,ALLIANCE,2922,243,135,Hunter,Survival
182,Tímmÿtûrñér,tichondrius,ALLIANCE,2922,369,244,Unknown,Unknown
182,Dopamine,shattered-halls,ALLIANCE,2922,305,203,Mage,Fire
182,Meepmonk,tichondrius,HORDE,2922,195,133,Monk,Mistweaver
182,Meepmonk,tichondrius,HORDE,2922,195,133,Monk,Mistweaver
182,Atsukaia,tichondrius,ALLIANCE,2922,158,110,Shaman,Restoration
182,Randysavage,suramar,ALLIANCE,2922,471,340,Unknown,Unknown
182,Classenvy,tichondrius,HORDE,2922,259,188,Unknown,Unknown
182,Bumbleb,darkspear,ALLIANCE,2922,224,166,Unknown,Unknown
182,Bingbingbing,kelthuzad,ALLIANCE,2922,601,466,Warrior,Fury
182,Vânguârds,tichondrius,ALLIANCE,2922,342,266,Paladin,Retribution
182,Dboldennis,stormrage,ALLIANCE,2922,172,139,Druid,Balance
193,Våås,bleeding-hollow,ALLIANCE,2921,318,218,Demon Hunter,Havoc
193,Áoì,area-52,HORDE,2921,277,190,Mage,Frost
193,Pxry,stormrage,ALLIANCE,2921,177,122,Hunter,Survival
193,Pxry,stormrage,ALLIANCE,2921,177,122,Hunter,Survival
193,Envyion,sargeras,ALLIANCE,2921,371,271,Priest,Shadow
193,Vxjohnson,proudmoore,ALLIANCE,2921,153,118,Unknown,Unknown
193,Smexxin,tichondrius,ALLIANCE,2921,208,166,Warrior,Arms
193,Yøske,tichondrius,HORDE,2921,215,189,Hunter,Beast Mastery
200,Bigjbs,tichondrius,ALLIANCE,2920,184,85,Unknown,Unknown
200,Noworriesbro,zuljin,ALLIANCE,2920,263,156,Druid,Restoration
200,Rumblesucks,stormrage,ALLIANCE,2920,999,732,Unknown,Unknown
